kanji,hanzi,meaning_vi,meaning_en,jlpt_level,onyomi,kunyomi,stroke_count,radical_utf,radical_name_ja,radical_meaning,story,num_vocab_examples,prev_kanji,next_kanji
測,TRẮC,Đo đạc,"fathom, plan, scheme, measure",N3,ソク,はか、はかる,12,⺡,さんずい,water,Đo đạc (測) lượng nước (氵) theo quy tắc (則),7,側,員
首,THỦ,"Thủ tướng, cái cổ","neck, counter for songs and poems",N3,シュ,くび,9,⾸,くび,head,Cỏ (䒑) tự (自) mọc là Thủ lĩnh (首) của sân cỏ,5,容,負
員,VIÊN,Nhân viên,"employee, member, number, the one in charge",N3,イン,,10,⼝,くち,mouth,Suốt ngày mở miệng (口) đòi bảo bối (貝) là nhân viên (員),17,測,性
性,TÍNH,Tính cách,"sex, gender, nature",N3,セイ、ショウ,さが,8,⺖,りっしんべん,"heart, mind, spirit",Tâm (忄) sinh (生) tính (性),8,員,産
等,ĐẲNG,Bình đẳng,"etc., and so forth, class (first), quality, equal, similar",N3,トウ,ひと、ひとしい,12,⺮,たけかんむり,bamboo,Trúc (竹) trên chùa (寺) được đối xử bình đẳng (等),6,産,記
副,PHÓ,Phó giám đốc,"vice-, assistant, aide, duplicate, copy",N3,フク,,11,⺉,りっとう,"knife, sword",Phó (副) giám đốc có 10 (ō) mẫu ruộng (田) giao cho đao (刂) phủ canh gác,3,起,福
記,KÝ,Nhật kí,"scribe, account, narrative",N3,キ,しる、しるす,10,,ごんべん,"words, to speak, say",Lời nói (言) của bản thân (己) được viết vào nhật ký (記),13,等,起
起,KHỞI,Thức dậy,"rouse, wake up, get up",N3,キ,お、おきる、おこす,10,,そうにょう,to run,Sáng thức dậy (起) chạy (走) 2 (己) vòng,9,記,副
支,CHI,Chi nhánh,"branch, support, sustain, branch radical (no. 65)",N3,シ,ささ、ささえる,4,⽀,しにょう,branch,Cứ 10 (十) ngày lại (又) đến chi nhánh (支) thu tiền,12,富,技
富,PHÚ,Phú hào,"wealth, enrich, abundant",N3,フ、フウ,と、とむ、とみ,12,⼧,うかんむり,"roof, house",Nhà (宀) có 10 (ō) mẫu ruộng (田) là phú hào (富),2,福,支
福,PHÚC,Hạnh phúc,"blessing, fortune, luck, wealth",N3,フク,,13,⺭,しめすへん,"altar, festival, religious service",Ở thị (ネ) xã có 10 (ō) mẫu ruộng (田) là hạnh phúc (福) lắm rồi!,3,副,富
技,KỸ,Kỹ thuật,"skill, art, craft, ability, feat, performance, vocation, arts",N3,ギ,わざ,7,⺘,てへん,hand,Tay (扌) ở chi nhánh (支) có kỹ thuật (技) rất cao,7,支,相
産,SẢN,Sinh sản,"products, bear, give birth, yield, childbirth, native, property",N3,サン,う、うむ、うまれる、うぶ,11,⽣,うまれる,"birth, to be born, live",Đứng (立) trên sười núi (厂) sinh (生) sản (産),11,性,等
相,TƯƠNG,Tương tự/ thủ tướng,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy",N3,ソウ、ショウ,あい,9,,きへん,"tree, wood",Cây (木) có mắt (目) tương tự (相) nhau,10,技,箱
位,VỊ,Vị trí,"rank, grade, throne, crown, about, some",N3,イ,くらい,7,⺅,にんべん,person ,Người (亻) đứng (立) đúng vị trí (位),4,永,泣
箱,TƯƠNG,Cái hộp,"box, chest, case, bin, railway car",N3,ソウ,はこ,15,⺮,たけかんむり,bamboo,Cây trúc (竹) tương tự (相) nhau dùng làm hộp (箱),2,相,想
想,TƯỞNG,Tưởng tượng,"idea, thought, conception, think",N3,ソウ、ソ,おも.う,13,⼼,こころ,"heart, mind, spirit",Tương tự (相) đầu óc trái tim (心) cũng biết tưởng tượng (想),11,箱,拾
拾,THẬP,Thu thập,"pick up, gather, find, go on foot, ten",N3,シュウ、ジュウ,ひろ、ひろう,9,⺘,てへん,hand,Tay (扌) thích hợp (合) để thu thập (拾),1,想,給
給,CẤP,Cung cấp,"salary, wage, gift, allow, grant, bestow on",N3,キュウ,"たま.う, たも.う, -たま.え",12,,いとへん,thread,Sợi tơ (糸) thích hợp (合) cung cấp (給) cho ngành dệt,8,拾,血
温,ÔN,"Ôn hoà , ấm",warm,N3,オン,あたた、あたたか、あたたかい、あたたまる、あたためる,12,⺡,さんずい,water,Nước (氵) để cả ngày (日) trên đĩa (皿) thì ấm (温) lên,13,塩,仲
険,HIỂM,Nguy hiểm,"precipitous, inaccessible place, impregnable position, steep place, sharp eyes",N3,ケン,けわ、けわしい,11,⻖,こざとへん,"hill, mound",Để Bồ (阝) mặc áo yếm rất nguy hiểm (険),7,判,検
塩,DIÊM,Muối,salt,N3,エン,しお,13,,つちへん,earth,Trên đất (土) nằm (𠂉) mở miệng (口) liếm đĩa (皿) muối (塩),2,血,温
仲,TRỌNG,Trọng tài,"go-between, relationship",N3,チュウ,なか,6,⺅,にんべん,person ,Người đứng (亻) ở trung tâm (中) là trọng tài (仲),6,温,判
検,KIỂM,Kiểm tra,"examination, investigate",N3,ケン,しら.べる,12,,きへん,"tree, wood",Trên cây (木) treo áo yếm bị mất cần phải kiểm tra (検),6,険,皮
仕,SĨ,Công việc,"attend, doing, official, serve",N3,シ、ジ,つか、つかえる,5,⺅,にんべん,person ,Người (亻) binh sĩ (士) đang làm công việc (仕) của mình,7,彼,必
必,TẤT,Tất yêu,"invariably, certain, inevitable",N3,ヒツ,かなら、かならず,5,⼼,こころ,"heart, mind, spirit",Trái tim (心) bị đâm (ノ) tất yếu (必) sẽ chết,5,仕,湯
湯,THANG,Nước nóng,"hot water, bath, hot spring",N3,トウ,ゆ,12,⺡,さんずい,water,Uống nước (氵) vật vã (易) ra vì nước nóng (湯),2,必,陽
皮,BÌ,Da,"pelt, skin, hide, leather, skin radical (no. 107)",N3,ヒ,かわ,5,⽪,けがわ,"skin, hide",Ở sườn núi (厂) mở chi nhánh (支) bán đồ da (皮),3,検,彼
判,PHÁN,Phán đoán,"judgement, judgment, signature, stamp, seal",N3,ハン、バン,わか.る,7,⺉,りっとう,"knife, sword",Ông bán (半) đao (刂) đang phán đoán (判),7,仲,険
彼,BỈ,Anh ấy,"he, that, the",N3,ヒ,かれ、かの,8,⼻,ぎょうにんべん,"step, stride, street, to go",2 người đứng (彳) sờ lên da (皮) anh ấy (彼),4,皮,仕
陽,DƯƠNG,Mặt trời,"sunshine, yang principle, positive, male, heaven, daytime",N3,ヨウ,ひ,12,⻖,こざとへん,"hill, mound",Bồ (阝) làm việc vật vã (易) dưới ánh mặt trời (陽),2,湯,幼
菜,THÁI,Rau,"vegetable, side dish, greens",N3,サイ,な,11,⺾,くさかんむり,grass,Cô giáo Thảo (艹) đang hái (采) rau (菜),1,貧,良
娘,NƯƠNG,Cô nương,"daughter, girl",N3,ジョウ,むすめ,10,,おんなへん,woman,Cô gái (女) tốt (良) nhất chính là cô nương (娘),3,良,根
貧,BẦN,Nghèo,"poverty, poor",N3,ヒン、ビン,まず、まずしい、まずしさ,11,⾙,かい,"shell, property, wealth",Phân chia (分) hết bảo bối (貝) sẽ nghèo (貧) đi,2,粉,菜
粉,PHẤN,Bột,"flour, powder, dust",N3,フン,こ、こな,10,,こめへん,rice,Gạo (米) phân chia (分) nhỏ thành bột phấn (粉),3,幼,貧
退,THOÁI,Thoái lùi,"retreat, withdraw, retire, resign, repel, expel, reject",N3,タイ,しりぞ、しりぞく、しりぞける,9,⻌,しんにょう,"road, walk, to advance",Thoái lui (退) không tốt (良) bằng đi xa (辶),13,根,達
良,LƯƠNG,Tốt,"good, pleasing, skilled",N3,リョウ,よ、い、よい、いい,7,⾉,こん,boundary,Da trắng (白) là 1 (丄) người (人) rất tốt (良),9,菜,娘
根,CĂN,Gốc rễ,"root, radical, head (pimple)",N3,コン,ね,10,,きへん,"tree, wood",Cây (木) không tốt (良) do gốc rễ (根),4,娘,退
絵,HỘI,Bức tranh,"picture, drawing, painting, sketch",N3,カイ、エ,,12,,いとへん,thread,Sợi tơ (糸) tụ hội (会) tạo thành bức tranh (絵),6,芸,転
達,ĐẠT,Thành đạt,"accomplished, reach, arrive, attain",N3,タツ,たち,12,⻌,しんにょう,"road, walk, to advance",Có đất (土) nuôi dê (羊) thì không cần đi xa (辶) vẫn thành đạt (遅),9,退,芸
効,HIỆU,Hiệu quả,"merit, efficacy, efficiency, benefit",N3,コウ,き、きく,8,⼒,ちから,power,Giao lưu (交) với người có năng lực (カ) sẽ đạt được hiệu quả (効),4,伝,算
伝,TRUYỀN,Truyền đạt,"transmit, go along, walk along, follow, report, communicate, legend, tradition",N3,デン,つた、つたわる、つたえる、つたう、つたい,6,⺅,にんべん,person ,Người đứng (亻) suốt 24 giờ (云) để tuyên truyền (伝),17,転,効
転,CHUYỂN,Chuyển động,"revolve, turn around, change",N3,テン,ころ、ころがる、ころげる、ころがす、ころぶ,11,,くるまへん,"vehicle, wheel, car",Xe (車) suốt 24 giờ (云) vẫn chuyển động (転),15,絵,伝
芸,NGHỆ,Nghệ thuật,"technique, art, craft, performance, acting, trick, stunt",N3,ゲイ,"う.える, のり, わざ",7,⺾,くさかんむり,grass,Cô giáo Thảo (艹) 24 giờ (云) làm nghệ thuật (芸),2,達,絵
優,ƯU,Ưu tú,"tenderness, excel, surpass, actor, superiority, gentleness",N3,ユウ,やさし、やさしさ、すぐれる、やさ、すぐ,17,⺅,にんべん,person ,Người (亻) hay ưu phiền (憂) không thể trở nên ưu tú (優),6,泊,線
線,TUYẾN,Tuyến đường,"line, track",N3,セン,すじ,15,,いとへん,thread,Tuyến đường (線) bán tơ (糸) cạnh bên bờ suối (泉),7,優,願
算,TOÁN,Tính toán,"calculate, divining, number, abacus, probability",N3,サン,そろ,14,⺮,たけかんむり,bamboo,Trúc (竹) mù mắt (目) nhưng vẫn chắp tay (廾) học toán (算),6,効,泊
身,THÂN,Bản thân,"somebody, person, one's station in life",N3,シン,み,7,⾝,み,body,Tự (自) tin với thân hình chữ O (才) của bản thân (身),12,仏,続
仏,PHẬT,Phật giáo,"Buddha, the dead, France",N3,ブツ,ほとけ,4,⺅,にんべん,person ,Người (亻) tu 4 (ム) kiếp thành Phật (仏),1,願,身
幼,ẤU,Thơ ấu,"infancy, childhood",N3,ヨウ,おさない,5,⺓,いとがしら,"young, slight",Thời thơ ấu (幼) cứ yêu (幺) thật lực (力),5,陽,粉
泊,BẠC,Trọ lại,"overnight stay, put up at, ride at anchor",N3,ハク,とまる、とめる,8,⺡,さんずい,water,Nước (氵) trắng (白) sạch thì trọ lại (泊),4,算,優
情,TÌNH,Tình cảm,"feelings, emotion, passion, sympathy, circumstances, facts",N3,ジョウ、セイ,なさ、なさけ,11,⺖,りっしんべん,"heart, mind, spirit",Trái tim (忄) thanh (青) niên giàu tình cảm (情),11,続,争
庫,KHỐ,Nhà kho,"warehouse, storehouse",N3,コ、ク,くら,10,⼴,まだれ,slanting roof,Mái hiên (广) để đỗ xe (車) ở nhà kho (庫),2,争,軍
争,TRANH,Cạnh tranh,"contend, dispute, argue",N3,ソウ,あらそう、あらそい、あらそ,6,⼅,はねぼう,vertical stroke with a hook,Móc (ク) vào Em (ヨ) nhất quyết (亅) sẽ xảy ra chiến tranh (争),4,情,庫
願,NGUYỆN,Nguyện ước,"petition, request, vow, wish, hope",N3,ガン,ねが、ねがう,19,⾴,おおがい,"head, page",Nguyên (原) cả tờ giấy (頁) dùng để viết nguyện ước (願),9,線,仏
続,TỤC,Tiếp tục,"continue, series, sequel",N3,ゾク,つづ、つづく、つづける、つづき,13,,いとへん,thread,Tơ (糸) lụa được bán (売) liên tục (続),12,身,情
連,LIÊN,Liên kết,"take along, lead, join, connect, party, gang, clique",N3,レン,つら、つ、つらなる、つらねる、つれる、つれ,10,⻌,しんにょう,"road, walk, to advance",Xe (車) đi xa (辶)  liên tục (連),11,軍,求
求,CẦU,Yêu cầu,"request, want, wish for, require, demand",N3,キュウ,もと、もとめる,7,氺,したみず,water,Pha 1 (一) cốc nước (水) theo đúng ông chủ (｀) yêu cầu (求),6,連,球
球,CẦU,Địa cầu,"ball, sphere",N3,キュウ,たま,11,,おうへん,"jewelry, jeweled king",Vua (王) yêu cầu (求) có cả địa cầu (球),2,求,救
注,CHÚ,Chú ý,"pour, irrigate, shed (tears), flow into, concentrate on, notes, comment, annotate",N3,チュウ,そそ、そそぐ,8,⺡,さんずい,water,Chú ý (注) đừng để nước (氵) bắn vào ông chủ (主),12,種,柱
軍,QUÂN,Quân đội,"army, force, troops, war, battle",N3,グン,いくさ,9,⾞,くるま,"vehicle, wheel, car",Trùm khăn (冖) lên xe (車) quân đội (軍) để ngụy trang,2,庫,連
種,CHỦNG,Chủng loại,"species, kind, class, variety, seed",N3,シュ,たね,14,⽲,のぎへん,grain,Lúa (禾) có trọng (重) lượng khác nhau do chủng loại (種),2,救,注
柱,TRỤ,Trụ cột,"pillar, post, cylinder, support",N3,チュウ,はしら,9,,きへん,"tree, wood",Cây (木) chủ (主) chốt làm trụ cột (柱),2,注,辞
辞,TỪ,Từ điển,"resign, word, term, expression",N3,ジ,や、やめる,13,⾟,からい,bitter,Lưỡi (舌) ăn đồ cay (辛) phải từ từ (辞) thôi!,8,柱,幸
反,PHẢN,"Phản đối, ngược lại",anti-,N3,ハン、ホン、タン,そ、そる、そらす,4,⼜,また,"again, right hand",Dưới sườn núi (厂) đi lại (又) để phản đối (反),13,幸,返
幸,HẠNH,Hạnh phúc,"happiness, blessing, fortune",N3,コウ,さいわ、さいわい、さち、しあわ、しあわせ,8,⼲,かん,"to dry, shield",Có đất (土) có tiền Yên (¥) thì hạnh phúc (幸),6,辞,反
救,CỨU,Cấp cứu,"salvation, save, help, rescue, reclaim",N3,キュウ,すく、すくう,11,⺙,ぼくづくり,"activity, to strike, hit",Yêu cầu (求) nếu bị đánh (攵) phải đưa đi cấp cứu (救),3,球,種
坂,PHẢN,Con dốc,"slope, incline, hill",N3,ハン,さか,7,,つちへん,earth,Đất (土) này phản đối (反) xây nhà vì rất dốc (坂),1,返,板
板,BẢN,Tấm bảng,"plank, board, plate, stage",N3,ハン、バン,いた,8,,きへん,"tree, wood",Cây (木) phản đối (反) bị chặt làm tấm bảng (板),5,坂,報
報,BÁO,Báo cáo,"report, news, reward, retribution",N3,ホウ,むく、むくい、むくいる、むくう,12,⼟,つち,earth,Hạnh phúc (幸) bị phản đối (反) đã được dự báo (報) trước,7,板,常
賞,THƯỞNG,Tiền thưởng,"prize, reward, praise",N3,ショウ,ほ.める,15,⾙,かい,"shell, property, wealth",Hòa thượng (尚) mang bảo bối (貝) đi ban thưởng (賞),5,常,用
常,THƯỜNG,Bình thường,"usual, ordinary, normal, common, regular, continually, always, long-lasting",N3,ジョウ,つね、とこ,11,⼱,はば,cloth,Hòa thượng (尚) quàng 1 chiếc khăn (巾) rất bình thường (常),12,報,賞
返,PHẢN,Trả lại,"return, answer, fade, repay",N3,ヘン,かえ、かえす、かえる、かえり,7,⻌,しんにょう,"road, walk, to advance",Phản đối (反) đi xa (辶) rồi trả lại (返),18,反,坂
告,CÁO,Quảng cáo,"revelation, tell, inform, announce",N3,コク,つ、つぐ、つげる,7,⼝,くち,mouth,Con bò cụt đuôi (牛) mở miệng (口) quảng cáo (告),6,備,造
造,TẠO,Sáng tạo,"create, make, structure, physique",N3,ゾウ,つく、つくる、つくり,10,⻌,しんにょう,"road, walk, to advance",Quảng cáo (告) muốn đi xa (辶) phải sáng tạo (造),2,告,材
材,TÀI,Tài liệu,"lumber, log, timber, wood, materials, ingredients, talent",N3,ザイ,,7,,きへん,"tree, wood",Cây (木) được thiên tài (才) dùng làm tài liệu (材),4,造,筆
備,BỊ,Chuẩn bị,"equip, provision, preparation",N3,ビ,そな、そなえる、そなわる,12,⺅,にんべん,person ,Người đứng (亻) cắt cỏ (艹) ở sườn núi (厂) để sử dụng (用) cho bò chuẩn bị (備) ăn,6,痛,告
建,KIẾN,Kiến trúc,build,N3,ケン、コン,た、たつ、たてる、たて,9,⼵,えんにょう,"to move, stretch",Kiến trúc (建) sư cầm bút (聿) hướng dẫn (廴) vẽ,6,律,結
結,KẾT,Kết hôn,"tie, bind, contract, join, organize, do up hair, fasten",N3,ケツ,むす、ゆ、むすぶ、ゆう、ゆわえる,12,,いとへん,thread,Sợi tơ (糸) hồng kết nối điều tốt lành (吉) trong lễ kết hôn (結),9,建,捨
痛,THỐNG,Đau,"pain, hurt, damage, bruise",N3,ツウ,いた、いたい、いたむ、いたましい、いためる、いたみ,12,⽧,やまいだれ,sickness,Bệnh (疒) của ma (々) phải sử dụng (用) đến thuốc giảm đau (痛),11,用,備
捨,XẢ,Vứt bỏ,"discard, throw away, abandon, resign, reject, sacrifice",N3,シャ,す、すてる,11,⺘,てへん,hand,Tay (扌) cầm đồ lên phố xá (舎) để vứt (捨),1,結,祝
用,DỤNG,Sử dụng,"utilize, business, service, use, employ",N3,ヨウ,もち、もちいる,5,⽤,もちいる,to use,Nguyệt (月) qua 1 (l) lần đã biết sử dụng (用),30,賞,痛
筆,BÚT,Cái bút,"writing brush, writing, painting brush, handwriting",N3,ヒツ,ふで,12,⺮,たけかんむり,bamboo,Trúc (竹) + bút (聿) = Bút (筆) trúc,2,材,律
律,LUẬT,Pháp luật,"rhythm, law, regulation, gauge, control",N3,リツ、リチ,,9,⼻,ぎょうにんべん,"step, stride, street, to go",2 người đứng (彳) cầm bút (聿) viết ra pháp luật (律),1,筆,建
説,THUYẾT,Diễn thuyết,"opinion, theory, explanation, rumor",N3,セツ、ゼイ,と、とく,14,,ごんべん,"words, to speak, say",Tập nói (言) trước tivi (兌) để diễn thuyết (説),8,税,量
量,LƯỢNG,Số lượng,"quantity, measure, weight, amount, consider, estimate, surmise",N3,リョウ,はかる、はかり、はか,12,⾥,さと,"village, (3.93 km)",Ngày (日) mùng 1 (一) ông Lí (里) đi mua số lượng (量) hàng lớn,6,説,童
祝,CHÚC,Chúc mừng,"celebrate, congratulate",N3,シュク、シュウ,いわ、いわう、いわい,9,⺭,しめすへん,"altar, festival, religious service",Chỉ thị (ネ) cho anh trai (兄) đi chúc (祝) Tết,4,捨,税
者,GIẢ,Tác giả,"someone, person",N3,シャ,もの,8,⺹,おいかんむり,"old, old-age",Đứng trên đất (土) chống gậy (/) cả ngày (日) là tác giả (者),17,童,代
貸,THẢI,Cho vay,lend,N3,タイ,か、かす、かし,12,⾙,かい,"shell, property, wealth",Thời đại (代) bây giờ có bảo bối (貝) đừng nên cho vay (貸),7,袋,苦
代,ĐẠI,Thời đại,"substitute, change, convert, replace, period, age, counter for decades of ages, eras, etc., generation, charge, rate, fee",N3,ダイ、タイ,かわる、かわり、かえる、よ、しろ、か,5,⺅,にんべん,person ,Người (亻) chiếm lấy (弋) thời đại (代),16,者,袋
袋,ĐẠI,Cái túi,"sack, bag, pouch",N3,タイ,ふくろ,11,⾐,ころも,clothing,Thời đại (代) bây giờ y phục (衣) thường có túi (袋),6,代,貸
個,CÁ,Cá tính,"individual, counter for articles",N3,コ、カ,,10,⺅,にんべん,person ,Người (亻) cố (固) chấp thường cá tính (個),6,苦,受
授,THỤ,Truyền thụ,"impart, instruct, grant, confer",N3,ジュ,さず、 さずける、さずかる,11,⺘,てへん,hand,Tay (扌) nhận (受) được rồi truyền thụ (授),2,受,点
童,ĐỒNG,Nhi đồng,"juvenile, child",N3,ドウ,わらべ,12,⽴,たつ,to stand,Đứng (立) trên đầu ông Lí (里) là nhi đồng (童),1,量,者
点,ĐIỂM,Điểm số,"spot, point, mark, speck, decimal point",N3,テン,"つ.ける, つ.く, た.てる, さ.す, とぼ.す, とも.す, ぼち",9,⺣,れっか,fire,Chiếm (占) nhà phóng hỏa (灬) là do có kẻ chỉ điểm (点),11,授,調
調,ĐIỀU,Điều tra,"tune, tone, meter, key (music), writing style, prepare, exorcise, investigate, harmonize, mediate",N3,チョウ,しら、ととの、しらべる、ととのえる、ととのう,15,,ごんべん,"words, to speak, say",Miệng nói (言) chu (周) ra khi điều tra (調),19,点,可
税,THUẾ,Tiền thuế,"tax, duty",N3,ゼイ,,12,⽲,のぎへん,grain,Bán lúa ( 禾) mua tivi (兌) phải nộp thuế (税),5,祝,説
可,KHẢ,Khả năng,"can, passable, approval",N3,カ,"-べ.き, -べ.し",5,⼝,くち,mouth,Đinh cắm (丁) cắm vào miệng (ロ) khả năng (可) sẽ rất đau,10,調,河
受,THỤ,Nhận,"accept, undergo, answer (phone), take, get, catch, receive",N3,ジュ,う、うける、うかる,8,⼜,また,"again, right hand",Bạch cốt trảo (爪) trùm khăn (冖) lên là lại (又) nhận (受) đệ tử,13,個,授
翌,DỰC,Ngày mai,"the following, next",N3,ヨク,,11,⽻,はね,"feather, wing",Ngày mai (翌) lông (羽) lá dựng đứng (翌),1,局,紹
局,CỤC,Kết cục,"bureau, board, office, affair, conclusion, court lady, lady-in-waiting, her apartment",N3,キョク,つぼね,7,⼫,しかばね,"corpse, awning",Xác chết (尸) có khả năng (可) đóng thành cục (局),3,河,翌
河,HÀ,Sông,river,N3,カ,かわ,8,⺡,さんずい,water,Nước (氵) có khả năng (可) chảy thành sông (河),2,可,局
兵,BINH,Binh sĩ,"soldier, private, troops, army, warfare, strategy, tactics",N3,ヘイ、ヒョウ,つわもの,7,⼋,はち,eight,Dưới ngọn đồi (丘) có 8 (ハ) binh sĩ (兵) đang ẩn nấp,2,紹,移
紹,THIỆU,Giới thiệu,"introduce, inherit, help",N3,ショウ,,11,,いとへん,thread,Giới thiệu (紹) sợi tơ (糸) 1 triệu (召),2,翌,兵
夢,MỘNG,Giấc mơ,"dream, vision, illusion",N3,ム,ゆめ,13,⼣,ゆうべ,evening,Trong giấc mơ (夢) cô giáo Thảo (艹) nằm võng (皿) trùm khăn (冖) ngủ đến chiều tối (夕),4,移,秒
苦,KHỔ,Đắng,"suffering, trial, worry, hardship, feel bitter, scowl",N3,ク,くる、にが、くるしい、くるしむ、くるしめる、にがい、にがる,8,⺾,くさかんむり,grass,Cô giáo Thảo (艹) thời cổ (古) sống rất khổ (苦),10,貸,個
央,ƯƠNG,Trung ương,"center, middle",N3,オウ,,5,⼤,だい,"large, big",Mồm (ロ) to (大) cho lên trung ương (央),2,秒,決
決,QUYẾT,Quyết định,"decide, fix, agree upon, appoint",N3,ケツ,き、きめる、きまる,7,⺡,さんずい,water,Việc của đất nước (氵) do trung ương (央) quyết định (決),6,央,窓
窓,SONG,Cửa sổ,"window, pane",N3,ソウ,まど,11,,あなかんむり,"hole, cave",Dưới mái nhà (宀) làm việc công (公) tâm (心) bên cửa sổ (窓),2,決,供
秒,MIỂU,Giây,second (1/60 minute),N3,ビョウ,,9,⽲,のぎへん,grain,Lúa (禾) thiếu (少) 1 giây (秒) cũng đói,2,夢,央
選,TUYỂN,Tuyển chọn,"elect, select, choose, prefer",N3,セン,えら、えらぶ,15,⻌,しんにょう,"road, walk, to advance",Tuyển chọn (選) 22 (己己) cộng (共) tác viên làm việc từ xa (辶),9,供,帯
移,DI,Di chuyển,"shift, move, change, drift, catch (cold, fire), pass into",N3,イ,うつ、うつす、うつる,11,⽲,のぎへん,grain,Lúa (禾) nhiều (多) cần phải di chuyển (移) đi,6,兵,夢
供,CUNG,Cung cấp,"submit, offer, present, serve (meal), accompany",N3,キョウ、ク,そな、とも、そなえ、そなえる,8,⺅,にんべん,person ,Người đứng (亻) nơi công cộng (共) cung cấp (供) đồ,7,窓,選
帯,ĐỚI,Cái đai,"sash, belt, obi, zone, region",N3,タイ,お、おびる、おび,10,⼱,はば,cloth,1 (一) khi leo núi (山) sẽ cần trùm (冖) khăn (巾) đai (帯) hỗ trợ,4,選,婦
覚,GIÁC,Thị giác,"memorize, learn, remember, awake, sober up",N3,カク,おぼ、さ、おぼえる、さます、さめる,12,⾒,みる,to see,Ba (''') đêm trùm khăn (冖) nhìn (見) để kiểm tra thị giác (覚),11,初,現
規,QUY,Quy tắc,"standard, measure",N3,キ,,11,⾒,みる,to see,Chồng (夫) nhìn (見) vào quy tắc (規),3,現,係
婦,PHỤ,Phụ nữ,"lady, woman, wife, bride",N3,フ,よめ,11,,おんなへん,woman,Người con gái (女) biết cầm chổi (帚) là đã trở thành phụ nữ (婦),4,帯,初
折,CHIẾT,"Bẻ, gãy","fold, break, fracture, bend, yield, submit",N3,セツ,お、おる、おり、おれる,7,⺘,てへん,hand,Tay (扌) cầm rìu (斤) chiết gãy (折) cả cây,4,係,液
初,SƠ,Sơ cấp,"first time, beginning",N3,ショ,はじ、はつ、うい、そ、はじめて、はじめ、はつ、そめる,7,⼑,かたな,"knife, sword",Cắt may y phục (衤) bằng đao (刀) sẽ học ở lớp sơ cấp (初),8,婦,覚
未,VỊ,Mùi vị,"un-, not yet, hitherto, still, even now, sign of the ram, 1-3PM, eighth sign of Chinese zodiac",N3,ミ,いま、ま、いまだ、まだ,5,⽊,き,"tree, wood",Vị thành niên (未) to bằng 1 (一) cái cây (木),7,類,末
類,LOẠI,Chủng loại,"sort, kind, variety, class, genus",N3,ルイ,たぐ.い,18,⾴,おおがい,"head, page",Chủng loại (類) gạo (米) to (大) như tờ giấy (頁),5,液,未
末,MẠT,Cuối cùng,"end, close, tip, powder, posterity",N3,マツ、バツ,すえ,5,⽊,き,"tree, wood",Mạt (末) cuối cùng vẫn ngược với vị (未),6,未,非
現,HIỆN,Hiện thực,"present, existing, actual",N3,ゲン,あらわ、あらわれる、あらわす,11,,おうへん,"jewelry, jeweled king",Vua (王) nhìn (見) vào hiện thực (現) đất nước,14,覚,規
係,HỆ,Quan hệ,"person in charge, connection, duty, concern oneself",N3,ケイ,かか、かかる、かかり、かかわる、かかわり,9,⺅,にんべん,person ,Người đứng (亻) được vào hệ thống (系) là phải có quan hệ (係),2,規,折
液,DỊCH,Dung dịch,"fluid, liquid, juice, sap, secretion",N3,エキ,,11,⺡,さんずい,water,Nước (氵) chảy trong đêm (夜) là dung dịch (液),2,折,類
悲,BI,Bi thảm,"grieve, sad, deplore, regret",N3,ヒ,かな、かなしい、かなしむ、かなしさ、かなしみ,12,⼼,こころ,"heart, mind, spirit",Người phi thường (非) trái tim (心) hay gặp điều bi thảm (悲),4,非,罪
罪,TỘI,Tội phạm,"guilt, sin, crime, fault, blame, offense",N3,ザイ,つみ,13,,よこめ,eye,Tên tội phạm (罪) từ trên võng (皿) phi (非) xuống,4,悲,息
非,PHI,Phi thường,"un-, mistake, negative, injustice, non-",N3,ヒ,あら.ず,8,⾮,あらず,"wrong, non-",Giống hình cái thang ngược,7,末,悲
息,TỨC,Hơi thở,"breath, respiration, son, interest (on money), rest, coming to an end",N3,ソク,いき,10,⼼,こころ,"heart, mind, spirit",Tự (自) điều hòa nhịp tim (心) và hơi thở (息),5,罪,鼻
鼻,TỊ,Cái mũi,"nose, snout",N3,ビ,はな,14,⿐,はな,nose,Tự (自) làm ruộng (田) bằng tay (廾) thở ra bằng mũi (鼻),2,息,各
落,LẠC,Rơi,"fall, drop, come down, village, hamlet",N3,ラク,お、おちる、おとす,12,⺾,くさかんむり,grass,Rơi (落) lệ khi cô giáo Thảo (艹) ngã xuống nước (氵) mà các vị (各) không cứu,10,格,絡
絡,LẠC,Liên lạc,"entwine, coil around, get caught in",N3,ラク,から、からむ、からまる、からめる,12,,いとへん,thread,Dùng sợi tơ (糸) các vị (各) liên lạc (絡) với nhau,1,落,路
路,LỘ,Đường,"path, route, road, distance",N3,ロ,じ,13,⻊,あしへん,"foot, leg",Chân (足) các vị (各) đi trên đường (路) lộ,5,絡,接
接,TIẾP,Tiếp xúc,"touch, contact, adjoin, piece together",N3,セツ,つ、つぐ,11,⺘,てへん,hand,Tay (扌) đứng (立) cạnh người phụ nữ (女) mình yêu mà không dám tiếp xúc (接),6,路,努
格,CÁCH,Tính cách,"status, rank, capacity, character, case (law, grammar)",N3,カク、コウ,,10,,きへん,"tree, wood",Nhìn cây (木) các vị (各) trồng là biết được tính cách (格),8,各,落
